Name,Price,Cost,Quantity,Category,Expiration Date
Smoothie,4,3,10,Beverage,2023-11-18
Stainless Steel Water Bottle,20,16,25,Accessories,
Orange,0.6,0.45,125,Fruit,2023-06-27
Chicken Eggs,0.5,0.35,360,Eggs,2023-06-23
Running Shorts,40,30,8,Clothing,
E-book Reader,120,90,3,Electronics,
Passionfruit,1.5,1.1,347,Fruit,2023-07-05
Sleeping Pad,50,35,6,Outdoor,
Soy Milk,1.2,0.85,90,Milk,2023-05-19
Smart Home Security Camera,90,70,10,Electronics,
Yoga Mat,30,22,15,Fitness,
Raspberries,1.1,0.8,2411,Fruit,2023-06-05
External Hard Drive,100,80,12,Electronics,
Pineapple,1.2,0.9,128,Fruit,2023-11-16
Smart Speaker,150,120,20,Electronics,
Bicycle,300,220,7,Sports,
Papaya,0.9,0.6,471,Fruit,2023-05-29
Turkey,3,2,180,Meat,2023-06-20
Apple Juice,2.5,1.8,18,Beverage,2023-06-23
Wireless Earphones,60,45,12,Electronics,
Milkshake,3.5,2.5,12,Beverage,2023-07-28
Beach Towel,25,18,20,Outdoor,
Tennis Racket,100,80,8,Sports,
Portable Bluetooth Keyboard,60,45,8,Electronics,
Mechanical Keyboard,120,90,7,Electronics,
Laptop,1500,1100,5,Electronics,
Coconut,1.8,1.2,424,Fruit,2023-06-19
Chai Latte,4.5,3.2,10,Beverage,2023-12-09
Kiwano,1.1,0.8,512,Fruit,2023-06-17
Matcha Green Tea Latte,5,3.5,8,Beverage,2023-08-03
Grapes,0.8,0.55,225,Fruit,2023-12-02
Tablet,600,440,9,Electronics,
Soccer Ball,20,15,15,Sports,
Travel Adapter,25,18,18,Travel,
Pork,2.5,1.8,300,Meat,2023-06-12
Turkey Eggs,0.9,0.6,300,Eggs,2023-06-30
Lemon,0.4,0.28,2426,Fruit,2023-12-28
Beef,3.8,2.7,380,Meat,2023-05-25
Bluetooth Car Adapter,50,35,10,Car Accessories,
Air Mattress,60,45,8,Outdoor,
Digital Camera,400,280,8,Electronics,
Smartphone Tripod,25,18,12,Electronics,
Ginger Ale,1.5,1,25,Beverage,2023-05-28
Running Belt,20,15,15,Accessories,
Wireless Mouse,30,22,15,Electronics,
Digital Voice Recorder,60,45,10,Electronics,
Apple,0.5,0.35,120,Fruit,2023-08-15
Dragonfruit,1.8,1.2,110,Fruit,2023-11-30
Blackberries,0.9,0.6,2117,Fruit,2023-08-22
Wireless Charger,40,30,20,Electronics,
Whole Milk,1,0.7,120,Milk,2023-05-14
Backpack,50,38,20,Accessories,
Waterproof Hiking Backpack,90,65,7,Outdoor,
Camping Tent,200,140,4,Outdoor,
Wireless Headphones,80,60,15,Electronics,
Resistance Tube Set,30,22,12,Fitness,
Yoga Block,15,11,20,Fitness,
Strawberries,0.7,0.5,4220,Fruit,2023-05-07
Bluetooth Speaker,70,50,15,Electronics,
Inflatable Kayak,300,210,5,Outdoor,
Foldable Travel Bag,40,30,10,Travel,
Tennis Balls,10,7,20,Sports,
Dumbbell Set,80,56,5,Fitness,
Portable Bluetooth Speaker,50,35,10,Electronics,
Water,0.5,0.35,50,Beverage,2023-05-13
Pear,0.7,0.5,516,Fruit,2023-06-10
Resistance Bands,25,18,20,Fitness,
Beach Umbrella,40,30,10,Outdoor,
Lemonade,2,1.4,22,Beverage,2023-12-20
Plum,0.5,0.35,422,Fruit,2023-12-23
Bluetooth Earbuds,90,65,10,Electronics,
Bluetooth Car Speakerphone,50,35,10,Car Accessories,
Camping Stove,80,56,6,Outdoor,
Chicken,2.2,1.5,250,Meat,2023-06-07
Crossword Puzzle Book,15,11,25,Books,
Wireless Router,120,85,6,Electronics,
Sunglasses,80,55,12,Accessories,
Sparkling Water,1,0.7,30,Beverage,2023-12-12
Wireless Keyboard,50,35,15,Electronics,
Lawn Chair,40,30,8,Outdoor,
