Name,Price,Cost,Quantity,Category,Expiration Date
Smart TV,1800,1600,3,Electronics,
Backpacking Tent,250,200,5,Outdoor,
Oat Milk,1.3,1.1,110,Milk,2023-05-07
Ski Goggles,50,40,10,Sports,
Cranberry Juice,3.5,2.8,12,Beverage,2023-07-31
Hiking Boots,150,120,7,Shoes,
Blueberries,1,0.8,2114,Fruit,2023-09-10
Banana,0.4,0.32,220,Fruit,2023-09-30
Hammock,50,40,8,Outdoor,
Bluetooth Headset,80,64,8,Electronics,
Hot Chocolate,3,2.4,14,Beverage,2023-10-30
Printed T-Shirt,20,16,30,Clothing,
Yoga Blocks,15,12,15,Fitness,
Wireless Sport Earphones,70,56,12,Electronics,
Pomegranate,1.2,0.96,249,Fruit,2023-05-09
Smart Watch,350,280,10,Electronics,
Coconut Water,2,1.6,18,Beverage,2023-06-14
Portable Bluetooth Printer,120,96,5,Electronics,
Drone,500,400,6,Electronics,
Quail Eggs,0.3,0.24,500,Eggs,2023-05-31
Outdoor Grill,150,120,6,Outdoor,
Headphone Stand,20,16,12,Accessories,
Wristwatch,250,200,5,Accessories,
Energy Drink,2,1.6,20,Beverage,2023-07-14
Handheld Vacuum Cleaner,80,64,10,Home & Kitchen,
Portable Power Bank,50,40,15,Electronics,
Cycling Helmet,40,32,12,Outdoor,
Foldable Chair,35,28,10,Outdoor,
Wireless Gaming Controller,80,64,12,Electronics,
Goose Eggs,1,0.8,180,Eggs,2023-06-09
Running Shoes,120,96,10,Shoes,
